Aptitude,Communication,Programming,Logical,Attendance,Career,Placement,PerformanceScore
95,90,96,94,98,AI Engineer,Eligible,95
88,85,90,87,92,Data Scientist,Eligible,88
78,80,76,79,85,Web Developer,Eligible,80
65,70,68,66,72,Software Developer,Eligible,68
55,60,58,57,65,Technical Support,Not Eligible,58
45,50,48,46,55,Technical Support,Not Eligible,48
92,91,94,90,96,Machine Learning Engineer,Eligible,93
85,82,84,80,88,Backend Developer,Eligible,84
72,75,70,73,78,Frontend Developer,Eligible,74
60,58,62,59,67,System Administrator,Eligible,61
35,40,38,36,45,Technical Support,Not Eligible,39
98,96,99,97,99,AI Researcher,Eligible,98
82,84,81,83,86,Cloud Engineer,Eligible,83
74,72,76,70,79,UI UX Designer,Eligible,74
68,65,70,66,73,Mobile App Developer,Eligible,68
50,55,52,54,60,Technical Support,Not Eligible,53
90,92,91,93,95,Data Scientist,Eligible,92
87,86,85,88,90,Cyber Security Analyst,Eligible,87
62,64,60,63,68,System Administrator,Eligible,64
42,45,40,44,50,Technical Support,Not Eligible,44
96,94,97,95,98,AI Engineer,Eligible,96
80,82,79,81,85,Software Developer,Eligible,81
58,56,60,57,63,Technical Support,Not Eligible,58
76,78,74,77,82,Web Developer,Eligible,77
69,71,68,70,75,Mobile App Developer,Eligible,70
48,52,46,50,58,Technical Support,Not Eligible,49
91,89,93,90,94,Machine Learning Engineer,Eligible,91
83,85,82,84,87,Cloud Engineer,Eligible,84
66,68,65,67,72,System Administrator,Eligible,67
38,42,36,40,48,Technical Support,Not Eligible,40
94,93,95,92,97,AI Engineer,Eligible,94
89,87,90,88,91,Data Scientist,Eligible,89
77,79,75,78,83,Frontend Developer,Eligible,78
64,66,63,65,70,System Administrator,Eligible,65
52,54,50,53,59,Technical Support,Not Eligible,54
47,49,45,48,52,Technical Support,Not Eligible,47
93,92,94,91,96,Machine Learning Engineer,Eligible,93
84,83,85,82,87,Backend Developer,Eligible,84
73,74,71,72,80,UI UX Designer,Eligible,74
61,62,60,63,69,System Administrator,Eligible,62
36,38,35,37,46,Technical Support,Not Eligible,37
97,95,98,96,99,AI Researcher,Eligible,97
81,83,80,82,86,Cloud Engineer,Eligible,82
75,73,77,74,81,Web Developer,Eligible,75
67,69,66,68,74,Mobile App Developer,Eligible,68
53,55,51,54,61,Technical Support,Not Eligible,55
46,48,44,47,53,Technical Support,Not Eligible,46
90,91,89,92,94,Cyber Security Analyst,Eligible,91
86,84,87,85,89,Software Developer,Eligible,86
71,72,70,73,79,Frontend Developer,Eligible,72
63,65,62,64,71,System Administrator,Eligible,64
41,43,39,42,49,Technical Support,Not Eligible,42
99,98,100,99,100,AI Engineer,Eligible,99
79,81,78,80,84,Backend Developer,Eligible,80
70,68,72,69,76,Web Developer,Eligible,71
59,57,61,58,64,Technical Support,Not Eligible,59
44,46,42,45,51,Technical Support,Not Eligible,45
95,94,96,93,97,Machine Learning Engineer,Eligible,95
88,89,87,90,92,Data Scientist,Eligible,89
74,76,73,75,82,UI UX Designer,Eligible,75
65,67,64,66,73,Mobile App Developer,Eligible,66
54,56,53,55,62,Technical Support,Not Eligible,55
43,44,41,43,50,Technical Support,Not Eligible,43
92,90,93,91,95,AI Researcher,Eligible,92
85,86,84,87,88,Cyber Security Analyst,Eligible,86
72,70,74,71,78,Frontend Developer,Eligible,72
60,61,59,62,68,System Administrator,Eligible,61
39,41,37,40,47,Technical Support,Not Eligible,40
97,96,98,95,99,AI Engineer,Eligible,97
83,82,84,81,86,Backend Developer,Eligible,83
76,77,75,78,84,Software Developer,Eligible,77
66,64,68,65,72,Mobile App Developer,Eligible,66
51,53,49,52,60,Technical Support,Not Eligible,52
48,47,45,46,54,Technical Support,Not Eligible,47
91,93,90,92,96,Machine Learning Engineer,Eligible,92
87,85,88,86,90,Cloud Engineer,Eligible,87
73,71,75,72,80,Web Developer,Eligible,73
62,63,61,64,70,System Administrator,Eligible,63
40,42,38,41,48,Technical Support,Not Eligible,41
